sample_uid,sample_name,A1fi/A1-A1nh,A1/A1fi,C42g/C1/C42.2/C42a-C1b-C1az-C1au-C3,C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,C1/C42.2/C42g/C42a-C1b-C1au-C1az-C3-C42h,C1d-C42.2-C1-C1k-C1b-C3cg,C1/C1ag/C1ah-C42.2-C3cg-C1b-C3cw,C1d/C42.2/C1/C3cg-C1b-C3cw-C45c-C115k,C42.2/C1/C42g/C42a-C1b-C42b-C3-C1au,C42.2/C1-C1b-C3-C1au-C41p-C115k,C42.2/C1/C42a/C42g-C1b-C42b-C1az-C1au,C1m/C1/C1ag-C42.2-C3cg-C1b-C3cw,C42a/C1/C42.2/C1b/C1j-C1au-C3-C115l,C1/C42.2-C1b-C1az-C42g-C1au-C3-C42az,C1d/C42g-C42.2-C1-C1b-C42a,C116-C42g-C1-C42.2-C116bw-C116q,C1d/C1/C42.2-C1b-C3cg-C45c-C115k-C1au,C1b,C42a/C42.2/C1/C1b-C1j-C1au-C3,C116/C42.2-C1-C116af-C116ag,C1d/C42.2-C1-C1k-C1b,C1/C1ah/C1ag-C42.2-C3cg-C1dj-C1b,C42.2/C1-C1b-C1au-C3-C1az-C115k-C41p-C115d,C116-C116af-C116ag-C116q,C42a/C42.2/C1-C1b-C42ad-C42ac-C1az-C1au-C42g,C1d,C116-C116q,C42a/C42.2/C1-C42b-C1b-C1az-C1au-C3,C116/C42.2/C1-C1b,C116-C116i-C116q,C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k,C42.2-C1-C42j-C42k-C42l-C3-C1au,C1/C42.2/C1b/C3-C42g-C42a-C1az,C3/C115d,C1d/C1-C42.2-C1b,C42a/C42.2-C1b-C1-C42b-C1au,C42.2/C1/C42a/C1b-C1au-C1az-C3-C115d,D1-D2d-D1aa-D1z-D1hx,D1/D2d-D1aa-D1z-D1y-D1x,D1/D2d-D1aa-D1z-D1y,D1-D2d-D1ky-D1kx,D1/D2d-D1z-D1aa,D1/D6-D4-D2d-D2.2-D1h-D2f,D1-D6-D4-D2.2-D1h-D2f-D2c,D1/D4-D6-D2.2-D1h
163481,21-01-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870992963,0,0,0,0,0,0,0
163482,21-01-02-01,0,0,0.021751842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898140568,0,0,0,0,0,0
163483,21-01-02-02,0,0,0.781252765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067106078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163484,21-01-02-03,0,0.439352917,0,0,0.381616353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163485,21-01-02-04,0,0,0,0,0,0,0.768293275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014323865,0,0,0,0,0,0,0
163486,21-01-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904697513,0,0,0,0
163487,21-01-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030867897,0,0,0,0,0,0,0,0.002097818,0,0,0.845420762,0,0,0,0,0,0,0
163488,21-01-02-07,0,0,0,0,0.890220422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163489,21-01-02-08,0,0,0,0,0,0.831323811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163490,21-01-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964652795,0,0,0,0,0
163491,21-01-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892612479,0,0,0,0,0,0
163492,21-01-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922629128,0,0,0,0,0
163493,21-01-02-12,0,0,0,0,0,0,0,0,0,0,0,0.836414206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163494,21-01-02-13,0,0,0.850053552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163495,21-01-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924740312,0,0,0,0,0,0,0
163496,21-01-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917382125,0,0,0,0,0
163497,21-01-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891061085,0,0,0,0,0
163498,21-01-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864738965,0,0,0,0
163499,21-01-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9091897,0,0,0,0,0,0,0
163500,21-01-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788135099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163501,21-01-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907624715,0,0,0,0,0
163502,21-01-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924613375,0,0,0
